offspring father confidence.x mother confidence.y father_combo mother_combo offspring_combo mother.pop father.pop mother.ind father.ind cross.dir cross
BW-Combo1-059 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-060 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-061 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-062 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-063 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-064 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-065 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
BW-Combo1-066 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-068 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-069 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-070 BW-Combo1-PP-M-5 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-5 PPxPP PP-F-2xPP-M-5
BW-Combo1-071 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
BW-Combo1-072 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-1 PP-M-4 PLxPP PL-F-1xPP-M-4
BW-Combo1-073 BW-Combo1-PL-M-5 95% BW-Combo1-PP-F-5 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-5 PL-M-5 PPxPL PP-F-5xPL-M-5
BW-Combo1-074 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-075 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-076 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-077 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-078 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
BW-Combo1-079 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-080 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
BW-Combo1-081 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-082 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-2 PPxPL PP-F-1xPL-M-2
BW-Combo1-083 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-084 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-5 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-5 PP-M-4 PPxPP PP-F-5xPP-M-4
BW-Combo1-085 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-086 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-087 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-088 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-1 PP-M-4 PLxPP PL-F-1xPP-M-4
BW-Combo1-089 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-090 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-091 BW-Combo1-PL-M-5 95% BW-Combo1-PP-F-5 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-5 PL-M-5 PPxPL PP-F-5xPL-M-5
BW-Combo1-093 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-4 PP-M-4 PPxPP PP-F-4xPP-M-4
BW-Combo1-095 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-1 PP-M-4 PLxPP PL-F-1xPP-M-4
